                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.55166,                0.68286,                 2.0417,                 1.1407,                0.04162,                 0.1875,                0.11642,                0.09823,                0.04162,                 0.1875,                0.11642,                0.10651,                0.58042,                0.48781,                 6.1995,                 1.3842,             0.00020149,             0.00020149,             0.00020149
                     25,                0.52242,                0.65216,                 1.8946,                 1.1564,                0.04654,                0.16667,                0.11946,                0.10098,                0.04654,                0.16667,                0.11946,                0.10901,                0.58618,                0.54314,                 6.0503,                 1.4062,             0.00019442,             0.00019442,             0.00019442
                     26,                0.55194,                0.69196,                 1.9588,                 1.1731,                0.03362,                0.10417,                0.10983,                0.09407,                0.03362,                0.10417,                0.10983,                0.09746,                0.48797,                 0.4908,                 6.2816,                 1.2626,             0.00018735,             0.00018735,             0.00018735
                     27,                0.52014,                0.65577,                 1.8601,                 1.1325,                0.03297,                  0.125,                0.09443,                0.07572,                0.03297,                  0.125,                0.09443,                0.08028,                0.49475,                0.51984,                 7.0808,                 1.2582,             0.00018028,             0.00018028,             0.00018028
                     28,                0.54492,                0.72674,                 1.8824,                 1.1496,                0.04183,                0.12094,                0.09459,                0.08195,                0.04183,                0.12094,                0.09459,                0.08359,                0.45936,                0.49097,                 7.4814,                 1.2208,             0.00017322,             0.00017322,             0.00017322
                     29,                0.52963,                0.70532,                 1.7771,                 1.1473,                0.03341,                0.12187,                0.09388,                0.07731,                0.03341,                0.12187,                0.09388,                0.08165,                0.49598,                0.46275,                 6.0624,                 1.2487,             0.00016615,             0.00016615,             0.00016615
                     30,                0.49611,                0.67167,                 1.8152,                 1.1062,                0.04322,                0.16422,                0.10244,                0.07285,                0.04322,                0.16422,                0.10244,                0.07905,                 0.5594,                0.51822,                 6.4589,                 1.3062,             0.00015908,             0.00015908,             0.00015908
                     31,                0.52457,                0.76602,                 1.7049,                 1.1251,                0.03672,                0.22955,                0.10042,                0.06507,                0.03672,                0.22955,                0.10042,                0.07003,                0.64209,                0.55581,                 7.4924,                 1.3715,             0.00015201,             0.00015201,             0.00015201
                     32,                0.49149,                0.68028,                 1.7259,                 1.1107,                0.03541,                0.18189,                 0.1139,                0.08922,                0.03541,                0.18189,                 0.1139,                0.08717,                0.55453,                0.53612,                  6.256,                 1.2927,             0.00014494,             0.00014494,             0.00014494
                     33,                0.51009,                0.68623,                 1.7001,                 1.1244,                0.02983,                0.11718,                0.10266,                0.08861,                0.02983,                0.11718,                0.10266,                0.07814,                0.47312,                 0.6282,                  5.902,                 1.1895,             0.00013787,             0.00013787,             0.00013787
                     34,                0.51699,                0.63876,                 1.6613,                 1.1263,                0.02816,                 0.1356,                0.09471,                0.07846,                0.02816,                 0.1356,                0.09471,                0.06973,                 0.5076,                0.63561,                 6.0267,                 1.2308,              0.0001308,              0.0001308,              0.0001308
                     35,                0.45709,                0.60909,                 1.5918,                 1.0927,                0.03057,                0.13603,                0.09907,                0.08442,                0.03057,                0.13603,                0.09907,                0.08464,                0.48014,                0.59571,                 6.3247,                 1.2041,             0.00012374,             0.00012374,             0.00012374
                     36,                0.48302,                0.62385,                 1.5324,                 1.0649,                 0.0364,                0.17189,                 0.1036,                0.09255,                 0.0364,                0.17189,                 0.1036,                0.09312,                 0.4186,                0.49605,                 6.5577,                 1.1455,             0.00011667,             0.00011667,             0.00011667
                     37,                0.44792,                 0.6245,                   1.48,                 1.0902,                0.04659,                0.13608,                 0.1195,                0.11216,                0.04659,                0.13608,                 0.1195,                 0.1138,                0.39639,                0.46344,                 6.3037,                 1.1321,              0.0001096,              0.0001096,              0.0001096
                     38,                 0.4772,                0.64151,                   1.52,                  1.095,                0.04075,                0.16529,                0.10421,                0.09694,                0.04075,                0.16529,                0.10421,                0.09918,                0.45124,                0.43631,                 6.7805,                 1.1712,             0.00010253,             0.00010253,             0.00010253
                     39,                0.44847,                0.55338,                 1.4567,                   1.09,                 0.0501,                0.15616,                0.11249,                0.10522,                 0.0501,                0.15616,                0.11249,                0.10681,                0.45496,                0.44952,                 6.7392,                 1.1837,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     40,                0.47593,                0.61974,                 1.4604,                 1.1297,                0.04671,                0.09356,                0.09441,                0.09377,                0.04671,                0.09356,                0.09441,                0.09172,                0.43072,                0.42953,                 6.9392,                  1.165,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     41,                0.25118,                 0.4403,                0.92466,                 1.0447,                0.19862,                0.08333,                0.08024,                0.07264,                0.19862,                0.08333,                 0.0804,                0.07283,                0.47337,                0.42194,                 6.6216,                 1.2007,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     42,                0.23877,                0.42561,                0.83752,                 1.0135,                0.03191,                0.08333,                0.10621,                0.09654,                0.03191,                0.08333,                0.10621,                0.09834,                0.49067,                0.41844,                 6.5408,                 1.2205,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     43,                0.24851,                0.41986,                0.81177,                 1.0201,                 0.1354,                0.08333,                0.12592,                0.11645,                 0.1354,                0.08333,                0.12592,                0.11777,                0.45566,                0.41602,                 6.6215,                 1.1851,             6.7187e-05,             6.7187e-05,             6.7187e-05
                     44,                0.22352,                0.37016,                0.67132,                 1.0177,                 0.1768,                0.08091,                0.11771,                0.10682,                 0.1768,                0.08091,                0.11771,                0.11192,                 0.4966,                0.41247,                 7.0351,                 1.2324,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     45,                0.20944,                0.37695,                 0.6486,                 1.0082,                0.18269,                0.09136,                0.13273,                0.12069,                0.18269,                0.09136,                0.13273,                0.12353,                0.56044,                0.42229,                 7.3646,                 1.2723,              5.305e-05,              5.305e-05,              5.305e-05
                     46,                 0.2183,                 0.3541,                0.56971,                0.98572,                0.09543,                0.08333,                0.12219,                0.11581,                0.09543,                0.08333,                0.12219,                 0.1179,                0.51228,                0.42328,                 7.2896,                 1.2411,             4.5982e-05,             4.5982e-05,             4.5982e-05
                     47,                0.20321,                0.37569,                0.55842,                0.97139,                   0.05,                0.08145,                0.12076,                0.11198,                   0.05,                0.08145,                0.12076,                0.11765,                0.52244,                0.42745,                 7.0311,                 1.2452,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     48,                0.21036,                0.35583,                0.52674,                0.98507,                0.44372,                0.04167,                 0.0809,                0.07537,                0.44372,                0.04167,                 0.0809,                0.07823,                0.55604,                 0.4318,                 7.5901,                 1.2579,             3.1844e-05,             3.1844e-05,             3.1844e-05
                     49,                0.21243,                 0.3632,                0.51415,                0.97879,                0.03525,                0.08281,                0.10516,                0.09801,                0.03525,                0.08281,                0.10516,                0.10266,                 0.5521,                0.42902,                 7.7034,                 1.2561,             2.4776e-05,             2.4776e-05,             2.4776e-05
                     50,                 0.1876,                0.35883,                0.47506,                0.96216,                0.05073,                0.08333,                0.11278,                0.10527,                0.05073,                0.08333,                0.11278,                 0.1103,                0.54716,                0.42766,                 7.6769,                 1.2509,             1.7707e-05,             1.7707e-05,             1.7707e-05
